# x y r lon
0.950303 0.011566 0.950373 0.012171
0.950306 0.011639 0.950378 0.012247
0.950310 0.011711 0.950382 0.012323
0.950314 0.011784 0.950387 0.012399
0.950318 0.011856 0.950392 0.012475
0.950322 0.011928 0.950397 0.012551
0.950326 0.012001 0.950402 0.012627
0.950330 0.012073 0.950406 0.012703
0.950334 0.012145 0.950411 0.012779
0.950338 0.012218 0.950416 0.012856
0.950342 0.012290 0.950421 0.012932
0.950346 0.012362 0.950426 0.013008
0.950350 0.012435 0.950431 0.013084
0.950354 0.012507 0.950436 0.013160
0.950358 0.012579 0.950441 0.013236
0.950362 0.012652 0.950447 0.013312
0.950366 0.012724 0.950452 0.013388
0.950371 0.012796 0.950457 0.013464
0.950375 0.012869 0.950462 0.013540
0.950379 0.012941 0.950467 0.013616
0.950383 0.013013 0.950472 0.013692
0.950388 0.013085 0.950478 0.013767
0.950392 0.013158 0.950483 0.013843
0.950396 0.013230 0.950488 0.013919
0.950401 0.013302 0.950494 0.013995
0.950405 0.013374 0.950499 0.014071
0.950409 0.013446 0.950505 0.014147
0.950414 0.013519 0.950510 0.014223
0.950418 0.013591 0.950516 0.014299
0.950423 0.013663 0.950521 0.014375
0.950427 0.013735 0.950527 0.014451
0.950432 0.013807 0.950532 0.014526
0.950436 0.013880 0.950538 0.014602
0.950441 0.013952 0.950543 0.014678
0.950446 0.014024 0.950549 0.014754
0.950450 0.014096 0.950555 0.014830
0.950455 0.014168 0.950560 0.014906
0.950460 0.014240 0.950566 0.014981
0.950464 0.014312 0.950572 0.015057
0.950469 0.014385 0.950578 0.015133
0.950474 0.014457 0.950584 0.015209
0.950478 0.014529 0.950590 0.015285
0.950483 0.014601 0.950595 0.015360
0.950488 0.014673 0.950601 0.015436
0.950493 0.014745 0.950607 0.015512
0.950498 0.014817 0.950613 0.015587
0.950503 0.014889 0.950619 0.015663
0.950508 0.014961 0.950625 0.015739
0.950513 0.015033 0.950631 0.015815
0.950517 0.015105 0.950637 0.015890
0.950522 0.015177 0.950644 0.015966
0.950527 0.015249 0.950650 0.016042
0.950532 0.015321 0.950656 0.016117
0.950538 0.015393 0.950662 0.016193
0.950543 0.015465 0.950668 0.016268
0.950548 0.015537 0.950675 0.016344
0.950553 0.015609 0.950681 0.016420
0.950558 0.015681 0.950687 0.016495
0.950563 0.015753 0.950694 0.016571
0.950568 0.015825 0.950700 0.016646
0.950574 0.015897 0.950706 0.016722
0.950579 0.015969 0.950713 0.016798
0.950584 0.016041 0.950719 0.016873
0.950589 0.016113 0.950726 0.016949
0.950595 0.016185 0.950732 0.017024
0.950600 0.016257 0.950739 0.017100
0.950605 0.016328 0.950746 0.017175
0.950611 0.016400 0.950752 0.017251
0.950616 0.016472 0.950759 0.017326
0.950622 0.016544 0.950765 0.017402
0.950627 0.016616 0.950772 0.017477
0.950632 0.016688 0.950779 0.017552
0.950638 0.016759 0.950786 0.017628
0.950643 0.016831 0.950792 0.017703
0.950649 0.016903 0.950799 0.017779
0.950655 0.016975 0.950806 0.017854
0.950660 0.017047 0.950813 0.017929
0.950666 0.017118 0.950820 0.018005
0.950671 0.017190 0.950827 0.018080
0.950677 0.017262 0.950834 0.018156
0.950683 0.017334 0.950841 0.018231
0.950689 0.017405 0.950848 0.018306
0.950694 0.017477 0.950855 0.018382
0.950700 0.017549 0.950862 0.018457
0.950706 0.017621 0.950869 0.018532
0.950712 0.017692 0.950876 0.018607
0.950717 0.017764 0.950883 0.018683
0.950723 0.017836 0.950891 0.018758
0.950729 0.017907 0.950898 0.018833
0.950735 0.017979 0.950905 0.018908
0.950741 0.018051 0.950912 0.018984
0.950747 0.018122 0.950920 0.019059
0.950753 0.018194 0.950927 0.019134
0.950759 0.018265 0.950934 0.019209
0.950765 0.018337 0.950942 0.019284
0.950771 0.018409 0.950949 0.019359
0.950777 0.018480 0.950957 0.019435
0.950783 0.018552 0.950964 0.019510
0.950789 0.018623 0.950972 0.019585
0.950795 0.018695 0.950979 0.019660
0.950802 0.018766 0.950987 0.019735
0.950808 0.018838 0.950994 0.019810
0.950814 0.018910 0.951002 0.019885
0.950820 0.018981 0.951010 0.019960
0.950826 0.019053 0.951017 0.020035
0.950833 0.019124 0.951025 0.020110
0.950839 0.019196 0.951033 0.020185
0.950845 0.019267 0.951041 0.020260
0.950852 0.019338 0.951048 0.020335
0.950858 0.019410 0.951056 0.020410
0.950864 0.019481 0.951064 0.020485
0.950871 0.019553 0.951072 0.020560
0.950877 0.019624 0.951080 0.020635
0.950884 0.019696 0.951088 0.020710
0.950890 0.019767 0.951096 0.020785
0.950897 0.019838 0.951104 0.020860
0.950903 0.019910 0.951112 0.020935
0.950910 0.019981 0.951120 0.021009
0.950917 0.020052 0.951128 0.021084
0.950923 0.020124 0.951136 0.021159
0.950930 0.020195 0.951144 0.021234
0.950936 0.020266 0.951152 0.021309
0.950943 0.020338 0.951161 0.021384
0.950950 0.020409 0.951169 0.021458
0.950957 0.020480 0.951177 0.021533
0.950963 0.020551 0.951185 0.021608
0.950970 0.020623 0.951194 0.021683
0.950977 0.020694 0.951202 0.021757
0.950984 0.020765 0.951210 0.021832
0.950990 0.020836 0.951219 0.021907
0.950997 0.020908 0.951227 0.021981
